quarter,loan_type,segment,median_rate_pct,source_url
2024:Q4,New term loans,Rural fixed new term loans,7.62,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2024:Q4,New term loans,Rural variable new term loans,7.5,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2024:Q4,New term loans,Urban fixed new term loans,7.36,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2024:Q4,New term loans,Urban variable new term loans,7.91,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q1,New term loans,Rural fixed new term loans,7.84,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q1,New term loans,Rural variable new term loans,7.9,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q1,New term loans,Urban fixed new term loans,7.45,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q1,New term loans,Urban variable new term loans,7.85,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q2,New term loans,Rural fixed new term loans,7.64,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q2,New term loans,Rural variable new term loans,7.5,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q2,New term loans,Urban fixed new term loans,7.21,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q2,New term loans,Urban variable new term loans,7.8,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q3,New term loans,Rural fixed new term loans,7.43,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q3,New term loans,Rural variable new term loans,7.42,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q3,New term loans,Urban fixed new term loans,7.08,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q3,New term loans,Urban variable new term loans,7.83,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q4,New term loans,Rural fixed new term loans,7.14,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q4,New term loans,Rural variable new term loans,7.19,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q4,New term loans,Urban fixed new term loans,6.75,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q4,New term loans,Urban variable new term loans,7.0,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2024:Q4,New lines of credit,Rural fixed new LOC,7.05,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2024:Q4,New lines of credit,Rural variable new LOC,7.61,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2024:Q4,New lines of credit,Urban fixed new LOC,7.29,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2024:Q4,New lines of credit,Urban variable new LOC,8.0,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q1,New lines of credit,Rural fixed new LOC,8.0,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q1,New lines of credit,Rural variable new LOC,8.35,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q1,New lines of credit,Urban fixed new LOC,7.17,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q1,New lines of credit,Urban variable new LOC,8.0,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q2,New lines of credit,Rural fixed new LOC,7.16,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q2,New lines of credit,Rural variable new LOC,7.76,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q2,New lines of credit,Urban fixed new LOC,7.14,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q2,New lines of credit,Urban variable new LOC,8.07,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q3,New lines of credit,Rural fixed new LOC,7.38,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q3,New lines of credit,Rural variable new LOC,7.63,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q3,New lines of credit,Urban fixed new LOC,6.97,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q3,New lines of credit,Urban variable new LOC,7.91,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q4,New lines of credit,Rural fixed new LOC,7.36,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q4,New lines of credit,Rural variable new LOC,7.5,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q4,New lines of credit,Urban fixed new LOC,6.65,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
2025:Q4,New lines of credit,Urban variable new LOC,7.09,https://www.kansascityfed.org/surveys/small-business-lending-survey/small-business-lending-continues-to-increase-q4-2025/
